,ISBN,Title,Author,PublicationYear,Subjects,ItemType,avg sales per year
2556759,1594633665,The girl on the train / Paula Hawkins.,"Hawkins, Paula",2015.,"Railroad travel Fiction, Witnesses Fiction, Murder victims Fiction, Commuters Fiction, Alcoholics Fiction, Strangers Fiction, London England Fiction, Suspense fiction, Psychological fiction",acbk,1725.0
2705209, 1594634122,The girl on the train / Paula Hawkins.,"Hawkins, Paula",2015.,"Railroad travel Fiction, Witnesses Fiction, Murder victims Fiction, Commuters Fiction, Alcoholics Fiction, Strangers Fiction, London England Fiction, Suspense fiction, Psychological fiction",acbk,1725.0
2807755, 9781594634123,The girl on the train / Paula Hawkins.,"Hawkins, Paula",2015.,"Railroad travel Fiction, Witnesses Fiction, Murder victims Fiction, Commuters Fiction, Alcoholics Fiction, Strangers Fiction, London England Fiction, Suspense fiction, Psychological fiction",acbk,1725.0
2705210, 9781594633669,The girl on the train / Paula Hawkins.,"Hawkins, Paula",2015.,"Railroad travel Fiction, Witnesses Fiction, Murder victims Fiction, Commuters Fiction, Alcoholics Fiction, Strangers Fiction, London England Fiction, Suspense fiction, Psychological fiction",acbk,1725.0
731043,0735211205,Into the water / Paula Hawkins.,"Hawkins, Paula",2017.,"Murder Fiction, Rivers Fiction, Women Crimes against Fiction, Psychological fiction, Thrillers Fiction",acbk,1646.0
1583053, 9780735211209,Into the water / Paula Hawkins.,"Hawkins, Paula",2017.,"Murder Fiction, Rivers Fiction, Women Crimes against Fiction, Psychological fiction, Thrillers Fiction",pkbknh,1646.0
413814, 1476746591,All the light we cannot see : a novel / Anthony Doerr.,"Doerr, Anthony, 1973-",2014.,"Blind Fiction, World War 1939 1945 Youth France Fiction, World War 1939 1945 Youth Germany Fiction, France History German occupation 1940 1945 Fiction, Saint Malo France Fiction, Historical fiction",acbk,1634.0
413815, 9781476746586,All the light we cannot see : a novel / Anthony Doerr.,"Doerr, Anthony, 1973-",2014.,"Blind Fiction, World War 1939 1945 Youth France Fiction, World War 1939 1945 Youth Germany Fiction, France History German occupation 1940 1945 Fiction, Saint Malo France Fiction, Historical fiction",acbk,1634.0
1045446, 9781476746593,All the light we cannot see : a novel / Anthony Doerr.,"Doerr, Anthony, 1973-",2014.,"Blind Fiction, World War 1939 1945 Youth France Fiction, World War 1939 1945 Youth Germany Fiction, France History German occupation 1940 1945 Fiction, Saint Malo France Fiction, Historical fiction",acbk,1634.0
4127854,1476746583,All the light we cannot see : a novel / Anthony Doerr.,"Doerr, Anthony, 1973-",2014.,"Blind Fiction, World War 1939 1945 Youth France Fiction, World War 1939 1945 Youth Germany Fiction, France History German occupation 1940 1945 Fiction, Saint Malo France Fiction, Historical fiction",acbk,1634.0
3593814, 9780316403436,Today will be different : a novel / Maria Semple.,"Semple, Maria",2016.,"Mothers and sons Fiction, Animators Fiction, Family secrets Fiction, Seattle Wash Fiction, Humorous fiction, Domestic fiction",acbk,1267.5
4167644,0316403431,Today will be different : a novel / Maria Semple.,"Semple, Maria",2016.,"Mothers and sons Fiction, Animators Fiction, Family secrets Fiction, Seattle Wash Fiction, Humorous fiction, Domestic fiction",acbk,1267.5
2404815, 9781524733155,The ministry of utmost happiness / Arundhati Roy.,"Roy, Arundhati",2017.,"Interpersonal relations Fiction, Self realization Fiction, India Fiction",acbk,1254.0
1807585,1524733156,The ministry of utmost happiness / Arundhati Roy.,"Roy, Arundhati",2017.,"Interpersonal relations Fiction, Self realization Fiction, India Fiction",pkbknh,1254.0
3360409, 9781524732684,"Option B : facing adversity, building resilience, and finding joy / Sheryl Sandberg, Adam Grant.","Sandberg, Sheryl",2017.,"Sandberg Sheryl Family, Grief, Bereavement, Loss Psychology, Resilience Personality trait, Autobiographies",acbk,1226.0
4052169,1524732680,"Option B : facing adversity, building resilience, and finding joy / Sheryl Sandberg, Adam Grant.","Sandberg, Sheryl",2017.,"Sandberg Sheryl Family, Grief, Bereavement, Loss Psychology, Resilience Personality trait, Autobiographies",pkbknh,1226.0
2385491,0316204277,"Where'd you go, Bernadette : a novel / Maria Semple.","Semple, Maria",2012.,"Women architects Washington State Seattle Fiction, Missing persons Fiction, Phobias Fiction, Antarctica Fiction, Mothers and daughters Fiction, Domestic fiction, Humorous fiction",acbk,1168.1666666666667
3821480, 9780316204279,"Where'd you go, Bernadette : a novel / Maria Semple.","Semple, Maria",2012.,"Women architects Washington State Seattle Fiction, Missing persons Fiction, Phobias Fiction, Antarctica Fiction, Mothers and daughters Fiction, Domestic fiction, Humorous fiction",acbk,1168.1666666666667
391436, 9780735212176,Exit west : a novel / Mohsin Hamid.,"Hamid, Mohsin, 1971-",2017.,Refugees Fiction,acbk,1120.0
107291,0735212171,Exit west : a novel / Mohsin Hamid.,"Hamid, Mohsin, 1971-",2017.,Refugees Fiction,acbk,1120.0
402141,0802126391,The refugees / Viet Thanh Nguyen.,"Nguyen, Viet Thanh, 1971-",2017.,"Vietnamese United States Fiction, Refugees Fiction, Immigrants Fiction, Short stories",acbk,1095.0
1515860, 9780802126399,The refugees / Viet Thanh Nguyen.,"Nguyen, Viet Thanh, 1971-",2017.,"Vietnamese United States Fiction, Refugees Fiction, Immigrants Fiction, Short stories",acbk,1095.0
939715, 9780316270755,You don't have to say you love me : a memoir / Sherman Alexie.,"Alexie, Sherman, 1966-",2017.,"Alexie Sherman 1966, Authors American 20th century Biography, Mothers and sons United States Biography, Indians of North America Biography, Autobiographies",acbk,1094.0
43320,031627075X,You don't have to say you love me : a memoir / Sherman Alexie.,"Alexie, Sherman, 1966-",2017.,"Alexie Sherman 1966, Authors American 20th century Biography, Mothers and sons United States Biography, Indians of North America Biography, Autobiographies",pkbknh,1094.0
889512,1455540412,"Al Franken, giant of the Senate / by Al Franken.","Franken, Al",2017.,"Franken Al, United States Congress Senate Biography, Legislators United States Biography, Comedians United States Biography, Autobiographies",acbk,1077.0
889513, 9781455540419,"Al Franken, giant of the Senate / by Al Franken.","Franken, Al",2017.,"Franken Al, United States Congress Senate Biography, Legislators United States Biography, Comedians United States Biography, Autobiographies",acbk,1077.0
4008211, 9780312577223,The nightingale / Kristin Hannah.,"Hannah, Kristin",2015.,"Sisters Fiction, World War 1939 1945 France Fiction, Anti Nazi movement France Fiction, France Fiction, Historical fiction, War stories, Love stories",acbk,1065.6666666666667
4008210,0312577222,The nightingale / Kristin Hannah.,"Hannah, Kristin",2015.,"Sisters Fiction, World War 1939 1945 France Fiction, Anti Nazi movement France Fiction, France Fiction, Historical fiction, War stories, Love stories",acbk,1065.6666666666667
1312141, 9780316508209,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",acbk,1027.0
2198166, 0316556653,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",acbk,1027.0
2198165, 0316508209,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",acbk,1027.0
3077480, 9780316154727,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",pkbknh,1027.0
4090280, 9780316556651,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",pkbknh,1027.0
2476854,0316154725,Theft by finding : diaries (1977-2002) / David Sedaris.,"Sedaris, David",2017.,"Sedaris David Diaries, Diaries",acbk,1027.0
278150, 9780316242370,The goldfinch / Donna Tartt.,"Tartt, Donna",2013.,"Young men Fiction, Loss Psychology Fiction, Artists Fiction, Self realization Fiction, New York N Y Fiction, Bildungsromans, Suspense fiction",acbk,1011.2
1541046,0316055433,The goldfinch / Donna Tartt.,"Tartt, Donna",2013.,"Young men Fiction, Loss Psychology Fiction, Artists Fiction, Self realization Fiction, New York N Y Fiction, Bildungsromans, Suspense fiction",acbk,1011.2
3994182, 0316242373,The goldfinch / Donna Tartt.,"Tartt, Donna",2013.,"Young men Fiction, Loss Psychology Fiction, Artists Fiction, Self realization Fiction, New York N Y Fiction, Bildungsromans, Suspense fiction",acbk,1011.2
3994183, 9780316055437,The goldfinch / Donna Tartt.,"Tartt, Donna",2013.,"Young men Fiction, Loss Psychology Fiction, Artists Fiction, Self realization Fiction, New York N Y Fiction, Bildungsromans, Suspense fiction",acbk,1011.2
1144447,1101946504,Love and trouble : a midlife reckoning / Claire Dederer.,"Dederer, Claire, 1967-",2017.,"Dederer Claire 1967, Motherhood, Middle aged persons United States Biography, Midlife crisis, Autobiographies",acbk,984.0
422246, 9781101946503,Love and trouble : a midlife reckoning / Claire Dederer.,"Dederer, Claire, 1967-",2017.,"Dederer Claire 1967, Motherhood, Middle aged persons United States Biography, Midlife crisis, Autobiographies",acbk,984.0
3202200, 0307592731,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"Strayed, Cheryl, 1968-",2012.,"Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel",acbk,973.0
3202199,0307476073,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"Strayed, Cheryl, 1968-",2012.,"Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel",acbk,973.0
324147, 9780307476074,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"Strayed, Cheryl, 1968-",2012.,"Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel",acbk,973.0
2096537, 9780307592736,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"Strayed, Cheryl, 1968-",2012.,"Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel",acbk,973.0
1098332, 1501154834,The tea girl of Hummingbird Lane : a novel / Lisa See.,"See, Lisa",2017.,"Adopted children Fiction, Chinese American teenagers California Fiction, Identity Psychology Fiction, Mothers and daughters Fiction, Akha Southeast Asian people China Fiction, Group identity China Fiction, Psychological fiction, Domestic fiction",acbk,963.0
3305860,1501154826,The tea girl of Hummingbird Lane : a novel / Lisa See.,"See, Lisa",2017.,"Adopted children Fiction, Chinese American teenagers California Fiction, Identity Psychology Fiction, Mothers and daughters Fiction, Akha Southeast Asian people China Fiction, Group identity China Fiction, Psychological fiction, Domestic fiction",pkbknh,963.0
