,isbn10,BibNum,title,subtitle,authors,categories,description,avg_rating,num_pages,num_ratings,best_seller,rank,price,weeks_on_list,publisher,publication_date,Subjects,ItemType,Checkouts_2005,Checkouts_2006,Checkouts_2007,Checkouts_2008,Checkouts_2009,Checkouts_2010,Checkouts_2011,Checkouts_2012,Checkouts_2013,Checkouts_2014,Checkouts_2015,Checkouts_2016,Checkouts_2017
0,0140442057,12873.0,Cousin Pons,Part Two of 'Poor Relations',Honore Balzac,Fiction,"Mild, harmless and ugly to behold, the impoverished Pons is an ageing musician whose brief fame has fallen to nothing. Living a placid Parisian life as a bachelor in a shared apartment with his friend Schmucke, he maintains only two passions: a devotion to fine dining in the company of wealthy but disdainful relatives, and a dedication to the collection of antiques. When these relatives become aware of the true value of his art collection, however, their sneering contempt for the parasitic Pons rapidly falls away as they struggle to obtain a piece of the weakening man's inheritance. Taking its place in the Human Comedy as a companion to Cousin Bette, the darkly humorous Cousin Pons is among of the last and greatest of Balzac's novels concerning French urban society: a cynical, pessimistic but never despairing consideration of human nature.",3.9850000000000003,336.0,918.0,0,-1.0,-1.0,-1.0,Penguin Classics,5/25/1978,France Social life and customs 19th century Fiction,acbk,2.0,1.0,0.0,4.0,2.0,0.0,3.0,5.0,5.0,2.0,0.0,2.0,4.0
1,068485256X,67874.0,The Last Temptation of Christ,None,Nikos Kazantzakis,Fiction,Novel which portrays Christ as a sensitive human being who is torn between his own passionates desires and his triumphant destiny on the cross,4.16,506.0,8819.0,0,-1.0,-1.0,-1.0,Simon  Schuster,3/1/1998,Jesus Christ Fiction,acbk,22.0,7.0,28.0,21.0,15.0,20.0,20.0,16.0,6.0,3.0,6.0,8.0,4.0
2,0394800273,69109.0,Snow,None,Roy McKie/P.D. Eastman,Juvenile Nonfiction,Snow makes a wonderful playland for boys and girls,4.15,72.0,4323.5,0,-1.0,-1.0,-1.0,Random House,10/12/1962,"Snow Juvenile fiction, Stories in rhyme",jcbk,45.0,60.0,62.0,46.0,43.0,51.0,42.0,301.0,425.0,432.0,272.0,197.0,75.0
3,0374529388,86372.0,The Fixer,A Novel,Bernard Malamud,Fiction,A Jew in Tsarist Russia is accused of murdering a Catholic boy and suffers from mistreatment in prison.,3.955,335.0,8509.0,0,-1.0,-1.0,-1.0,Farrar  Straus and Giroux,5/5/2004,None,acbk,10.0,7.0,40.0,20.0,21.0,36.0,30.0,28.0,25.0,19.0,12.0,9.0,3.0
4,0156717204,96224.0,The Philosophy of Andy Warhol,From A to B and Back Again,Andy Warhol,Art,"Warhol offers his observations of love, beauty, fame, work, and art and discusses the continuous play and display of his many fetishes",3.7350000000000003,272.0,32938.5,0,-1.0,-1.0,-1.0,Mariner Books,4/6/1977,Warhol Andy 1928 1987,acbk,5.0,4.0,30.0,18.0,20.0,7.0,7.0,8.0,7.0,7.0,9.0,10.0,7.0
5,0394800834,112603.0,McElligot's Pool,None,,Juvenile Fiction,A boy imagines the rare and wonderful fish he might catch in McElligot's pool.,4.0649999999999995,64.0,4481.5,0,-1.0,-1.0,-1.0,Random House Books for Young Readers,9/12/1947,"Fishing Fiction, Stories in rhyme",jcbk,240.0,351.0,338.0,331.0,268.0,215.0,147.0,353.0,315.0,259.0,182.0,158.0,245.0
6,0691019584,114634.0,A Source Book in Indian Philosophy,None,"Sarvepalli Radhakrishnan, Sir",Philosophy,"Features significant works from the Vedic and Epic periods, the Heterodox and Orthodox systems, and contemporary Indian thought",4.12,720.0,146.0,0,-1.0,-1.0,-1.0,Princeton University Press,4/21/1967,Hindu philosophy,arbk,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,031215125X,118481.0,The Far Pavilions,None,M.M. Kaye,Fiction,"A monumental, internationally best-selling novel set in nineteenth-century India weaves a vast tapestry of love, war, and adventure in the foothills of the towering Himalayas. Reprint.",4.21,958.0,36682.0,0,-1.0,-1.0,-1.0,St. Martin's Griffin,1/15/1997,Afghan Wars Fiction,acbk,7.0,11.0,7.0,9.0,10.0,20.0,31.0,25.0,27.0,16.0,12.0,17.0,3.0
8,0394800761,131338.0,Happy Birthday to You!,None,Dr. Seuss,Juvenile Fiction,Describes a birthday celebration in Katroo presided over by the Birthday Bird.,4.125,64.0,4237.0,0,-1.0,-1.0,-1.0,Random House Books for Young Readers,8/12/1959,"Birthdays Juvenile fiction, Stories in rhyme",jcbk,218.0,354.0,334.0,307.0,262.0,196.0,161.0,373.0,321.0,297.0,403.0,303.0,250.0
9,0064300897,148444.0,Romanticism,None,Hugh Honour,Art,A study of the influence Romanticism exerts upon Western culture.,3.74,416.0,41.5,0,-1.0,-1.0,-1.0,Westview Press,8/15/1979,"Romanticism in art, Arts Modern 19th century",acbk,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0691013802,202371.0,"Sounds, Feelings, Thoughts",Seventy Poems,Wisława Szymborska,Poetry,"Translated and Introduced by Magnus J. Krynski and Robert A. Maguire Regarded as one of the best representatives since World War II of the rich and ancient art of poetry in Poland, Wislawa Szymborska (1923-2012) is, in the translators' words, ""that rarest of phenomena: a serious poet who commands a large audience in her native land."" The seventy poems in this bilingual edition are among the largest and most representative offering of her work in English, with particular emphasis on the period since 1967. They illustrate virtually all her major themes and most of her important techniques. Describing Szymborka's poetry, Magnus Krynski and Robert Maguire write that her verse is marked by high seriousness, delightful inventiveness, a prodigal imagination, and enormous technical skill. She writes of the diversity, plenitude, and richness of the world, taking delight in observing and naming its phenomena. She looks on with wonder, astonishment, and amusement, but almost never with despair.",4.345000000000001,232.0,221.0,0,-1.0,-1.0,-1.0,Princeton University Press,8/21/1981,Szymborska Wislawa Translations into English,acbk,6.0,4.0,4.0,1.0,4.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0
11,0811212475,262899.0,The Crack-Up,None,Francis Scott Fitzgerald,Literary Collections,(Autobiographical).,3.92,347.0,2443.5,0,-1.0,-1.0,-1.0,New Directions Publishing Corporation,4/30/2003,None,acbk,0.0,0.0,12.0,13.0,6.0,18.0,9.0,18.0,18.0,12.0,8.0,12.0,4.0
12,0671417010,301621.0,Confessions of an Actor,Laurence Olivier an Autobiography/#07444,Laurence Oliver,Performing Arts,"An autobiography by the English actor discusses his theatrical and film career and offers a candid account of his personal life, focusing on his relationship with actress Vivien Leigh",3.7,348.0,275.5,0,-1.0,-1.0,-1.0,Simon & Schuster,12/31/1982,"Olivier Laurence 1907 1989, Actors Great Britain Biography",acbk,2.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0
13,0674990463,304378.0,Metamorphoses,In Two Volumes,Ovid/Frank Justus Miller,"Mythology, Classical",None,4.42,496.0,785.0,0,-1.0,-1.0,-1.0,Harvard University Press,1/1/1977,None,acbk,3.0,1.0,7.0,5.0,3.0,6.0,4.0,1.0,4.0,1.0,5.0,3.0,2.0
