,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
0,0761148574,9780761148579,What to Expect When You're Expecting,"Murkoff, Heidi; Mazel, Sharon",4th,Paperback,Workman Publishing Company,2008
1,1419739034,9781419739033,Wrecking Ball (Diary of a Wimpy Kid Book 14),"Kinney, Jeff",Illustrated,Hardcover,Harry N. Abrams,2019
2,0545791421,9780545791427,"Harry Potter The Illustrated 4 Books Collection Set By J K Rowling - The Philosophers Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire",J.K. Rowling,1,Hardcover,Bloomsbury Children's Books,2020
3,059035342X,9780590353427,Harry Potter and the Sorcerer's Stone,"Rowling, J.K.","1st Scholastic Td Ppbk Print., Sept.1999",Paperback,Scholastic,1998
4,1419727435,9781419727436,The Meltdown (Diary of a Wimpy Kid Book 13),"Kinney, Jeff",,Kindle Edition,Amulet Books,2018
5,133829914X,9781338299144,Harry Potter and the Sorcerer's Stone (1),"Rowling, J. K.",20th Anniversary ed.,Paperback,Arthur A. Levine Books,2018
6,0786838655,9780786838653,"The Lightning Thief (Percy Jackson and the Olympians, Book 1)","Riordan, Rick",1,Paperback,Disney-Hyperion,2006
7,1338263897,9781338263893,Fantastic Beasts: The Crimes of Grindelwald ― The Original Screenplay (Harry Potter),"Rowling, J. K.",Illustrated,Hardcover,Arthur A. Levine Books,2018
8,0545790352,9780545790352,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","Rowling, J.K.",Illustrated,Hardcover,Arthur A. Levine Books,2015
9,1419725459,9781419725456,The Getaway,"Kinney, Jeff",1,Hardcover,Amulet Books,2017
10,1338262181,9781338262186,The Tales of Beedle the Bard: The Illustrated Edition (Harry Potter),"Rowling, J.K.; Rowling, J. K.",Illustrated,Hardcover,Arthur A. Levine Books,2018
11,1338218395,9781338218398,Harry Potter Books 1-7 Special Edition Boxed Set,"Rowling, J.K.; Rowling, J. K.",Special,Paperback,Arthur A. Levine Books,2018
12,1484707230,9781484707234,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),"Riordan, Rick",Box Pap/Ps,Paperback,Disney-Hyperion,2014
13,0545791340,9780545791342,Harry Potter and the Prisoner of Azkaban: Illustrated Edition (Harry Potter Illustrated Edtn) & Unofficial Harry Potter - The Ultimate Amazing Complete Quiz Book 2 Books Collection Set,J.K. Rowling,,Paperback,Bloomsbury Children's Books/Iota Publishing Limited,2019
14,0545791324,9780545791328,Harry Potter and the Chamber of Secrets: Illustrated Edition (Harry Potter Illustrated Edtn) & Unofficial Harry Potter - The Ultimate Amazing Complete Quiz Book 2 Books Collection Set,J.K. Rowling; Iota,109th,Paperback,Bloomsbury Children's Books/Iota Publishing Limited,2019
15,1338267108,9781338267105,Harry Potter: A Journey Through a History of Magic,British Library,,Paperback,Arthur A. Levine Books,2017
16,1419723448,9781419723445,Double Down (Diary of a Wimpy Kid #11),"Kinney, Jeff",ana,Hardcover,Amulet Books,2016
17,133821666X,9781338216660,"Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production","Rowling, J. K.; Thorne, Jack; Tiffany, John",,Paperback,Arthur A. Levine Books,2017
18,1338099132,9781338099133,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","Rowling, J.K.; Thorne, Jack; Tiffany, John",Special Rehearsal Script ed.,Hardcover,Arthur A. Levine Books,2016
19,0062315005,9780062315007,Paulo Coelho Collection 10 Books Set,Paulo Coelho,25th ed.,Paperback,HARPER COLLINS,2022
20,1338132318,9781338132311,Fantastic Beasts and Where to Find Them,"Scamander, Newt; Rowling, J.K.",Illustrated,Hardcover,Arthur A. Levine Books,2017
21,1338109065,9781338109061,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),"Rowling, J.K.",Illustrated,Hardcover,Arthur A. Levine Books,2016
22,074324754X,9780743247542,The Glass Castle: A Memoir,"Walls, Jeannette",Reprint,Paperback,Scribner,2006
23,1419717014,9781419717017,Old School (Diary of a Wimpy Kid #10),"Kinney, Jeff",2nd,Hardcover,Amulet Books,2015
24,1423131983,9781423131984,"Battle of the Labyrinth, The (Percy Jackson and the Olympians, Book 4)","Riordan, Rick",1st,Kindle Edition,Disney Hyperion,2009
25,1423131983,9781423131984,"Battle of the Labyrinth, The (Percy Jackson and the Olympians, Book 4)","Riordan, Rick",1st,Kindle Edition,Disney Hyperion,2009
26,1338097679,9781338097672,Hogwarts Classics (Harry Potter),"Rowling, J.K.",Slp,Hardcover,Arthur A. Levine Books,2016
27,0545850568,9780545850568,Fantastic Beasts & Where to Find Them (Harry Potter),"Scamander, Newt",English Language,Hardcover,Arthur A. Levine Books,2015
28,1423131894,9781423131892,"Lightning Thief, The (Percy Jackson and the Olympians, Book 1)","Riordan, Rick",1st,Kindle Edition,Disney Hyperion,2009
29,0375725601,9780375725609,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,~,Paperback,Vintage,2004
30,0061122416,9780061122415,The Alchemist,Paulo Coelho,1st,Paperback,HarperOne,1993
31,141971189X,9781419711893,Diary of a Wimpy Kid: The Long Haul,"Kinney, Jeff",1st,Hardcover,Amulet Books,2014
32,0439358078,9780439358071,Harry Potter And The Order Of The Phoenix,"Rowling, J.K.",,Paperback,Scholastic Paperbacks,2004
33,0545044251,9780545044257,Harry Potter Hardcover Boxed Set: Books 1-7,J. K. Rowling,Box,Hardcover,Arthur A. Levine Books,2007
34,1534427201,9781534427204,Dork Diaries 14: Tales from a Not-So-Best Friend Forever (14),"Russell, Rachel Renée",Illustrated,Hardcover,Aladdin,2019
35,080241270X,9780802412706,The 5 Love Languages: The Secret to Love that Lasts,"Chapman, Gary",Reprint,Paperback,Northfield Publishing,2015
