ISBN,Title,Author,Publisher,Publication Year,Subjects
1594633665,The girl on the train,"Hawkins, Paula","Riverhead Books, a member of Penguin Group (USA),",2015,Fiction
0735211205,Into the water,"Hawkins, Paula","Riverhead Books,",2017,Fiction
1476746583,All the light we cannot see : a novel,"Doerr, Anthony, 1973-","Scribner,",2014,Fiction 1945 France
0316403431,Today will be different : a novel,"Semple, Maria","Little, Brown and Company,",2016,Fiction
1524733156,The ministry of utmost happiness,"Roy, Arundhati","Alfred A. Knopf,",2017,Fiction
1524732680,"Option B : facing adversity, building resilience, and finding joy","Sandberg, Sheryl","Alfred A. Knopf,",2017,Sandberg
0316204277,"Where'd you go, Bernadette : a novel","Semple, Maria","Little, Brown and Co.,",2012,Fiction
0735212171,Exit west : a novel,"Hamid, Mohsin, 1971-","Riverhead Books,",2017,Refugees
0802126391,The refugees,"Nguyen, Viet Thanh, 1971-","Grove Press,",2017,Fiction
031627075X,You don't have to say you love me : a memoir,"Alexie, Sherman, 1966-","Little, Brown and Company,",2017,Biography
1455540412,"Al Franken, giant of the Senate","Franken, Al","Twelve,",2017,United States Biography
0312577222,The nightingale,"Hannah, Kristin","St. Martin's Press,",2015,Fiction France War
0316154725,Theft by finding : diaries (1977-2002),"Sedaris, David","Little, Brown and Company,",2017,Sedaris
0316055433,The goldfinch,"Tartt, Donna","Little, Brown and Company,",2013,Fiction
1101946504,Love and trouble : a midlife reckoning,"Dederer, Claire, 1967-","Alfred A. Knopf,",2017,Dederer
0307476073,Wild : from lost to found on the Pacific Crest Trail,"Strayed, Cheryl, 1968-","Alfred A. Knopf,",2012,Pacific Crest
1501154826,The tea girl of Hummingbird Lane : a novel,"See, Lisa","Scribner,",2017,Fiction China
0316225983,The late show,"Connelly, Michael, 1956-","Little, Brown and Company,",2017,Fiction Los Angeles
0805095152,Being mortal : medicine and what matters in the end,"Gawande, Atul","Metropolitan Books/Henry Holt and Company,",2014,Terminal
1594634475,Fates and furies,"Groff, Lauren","Riverhead Books,",2015,Fiction
0307352145,Quiet : the power of introverts in a world that can't stop talking,"Cain, Susan","Crown,",2012,Introverts
039957610X,A separation,"Kitamura, Katie M.","Riverhead Books,",2017,Fiction
0439023513,Mockingjay,"Collins, Suzanne","Scholastic Press,",2010,Juvenile fiction fiction
0670024783,The invention of wings,"Kidd, Sue Monk","Viking,",2014,Fiction
0062414216,The nest,"Sweeney, Cynthia D'Aprix","Ecco, an imprint of HarperCollinsPublishers,",2016,and Fiction
1338099132,Harry Potter and the cursed child. Parts one and two : a new play,"Thorne, Jack","Arthur A. Levine Books, an imprint of Scholastic Inc.,",2016,Drama
0307271080,Americanah,"Adichie, Chimamanda Ngozi, 1977-","Alfred A. Knopf,",2013,Fiction Nigerians
1423154045,Listen to my trumpet!,"Willems, Mo","Hyperion Books for Children,",2012,Juvenile fiction Fictitious
0316176486,Life after life : a novel,"Atkinson, Kate","Little, Brown and Company,",2013,Fiction
0735216525,Do not become alarmed,"Meloy, Maile","Riverhead Books,",2017,Fiction
0316348406,Shrill : notes from a loud woman,"West, Lindy","Hachette Books,",2016,Humor Women United
1423113489,Watch me throw the ball!,"Willems, Mo","Hyperion Books for Children,",2009,Juvenile fiction Fictitious
1423106865,There is a bird on your head!,"Willems, Mo","Hyperion,",2007,Juvenile fiction Fictitious
081299860X,The girls : a novel,"Cline, Emma.","Random House,",2016,Fiction
1250066190,Glass houses,"Penny, Louise","Minotaur Books,",2017,Fiction
0439023491,Catching fire,"Collins, Suzanne","Scholastic Press,",2009,Juvenile fiction fiction
1423109627,I will surprise my friend!,"Willems, Mo","Hyperion Books for Children,",2008,Juvenile fiction Fictitious
0385353308,Station Eleven,"Mandel, Emily St. John, 1979-","Alfred A. Knopf,",2014,Fiction
0545312868,Fly Guy vs. the flyswatter!,"Arnold, Tedd","Cartwheel Books,",2011,Juvenile
0451493583,American war,"El Akkad, Omar, 1982-","Alfred A. Knopf,",2017,United States Fiction
1476738017,A man called Ove : a novel,"Backman, Fredrik, 1981-","Atria Books,",2014,Older
1423102975,My friend is sad,"Willems, Mo","Hyperion Books for Children,",2007,Juvenile fiction Fictitious
1423102959,Today I will fly!,"Willems, Mo","Hyperion Books for Children,",2007,Juvenile fiction Fictitious
1620972255,Strangers in their own land : anger and mourning on the American right,"Hochschild, Arlie Russell, 1940-","The New Press,",2016,United States History
1101874937,Lab girl,"Jahren, Hope.","Alfred A. Knopf,",2016,Jahren
1455561789,Before the fall,"Hawley, Noah","Grand Central Publishing,",2016,Fiction
