isbn_b,isbn_a,title,authors,publisher,publish_year
0060527994,['1524732060'],The Devil and Miss Prym (On the Seventh Day  #3),Paulo Coelho/Amanda Hopkinson/Nick Caistor,HarperOne,2006
006112009X,['0060883286'],One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,Harper Perennial Modern Classics,2006
006441034X,['006441034X'],Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,Harper Trophy,2001
006446234X,['0062051571'],Pioneer Girl: The Story of Laura Ingalls Wilder,William   Anderson/Dan Andreasen,HarperCollins,2000
0099578514,['0679444629'],Midnight's Children,Salman Rushdie,Vintage,1995
014027409X,['0393089134'],A Clockwork Orange,Anthony Burgess,Penguin Books,1998
0140274111,['0679745653'],Breakfast at Tiffany's,Truman Capote,Penguin Books,1998
0141182601,['0393089134'],A Clockwork Orange,Anthony Burgess/Blake Morrison,Penguin Classics,2000
0141185473,['0141185473'],Angle of Repose,Wallace Stegner/Jackson J. Benson,Penguin Classics,2000
0141311290,['0142413852'],The Magic Finger,Roald Dahl/Quentin Blake,Puffin Books,2001
0142000280,['0143126563'],Getting Things Done: The Art of Stress-Free Productivity,David    Allen,Penguin Books,2002
0142000671,['0140186425'],Of Mice and Men,John Steinbeck,Penguin Books,2002
0142001430,['067091021X'],Year of Wonders,Geraldine Brooks,Penguin Books,2002
014240120X,['0525471375'],The Westing Game,Ellen Raskin,Puffin,2004
0143036238,['0143036238'],Pride & Prejudice,Jane Austen/Vivien Jones,Penguin Books,2005
0143039024,['0143039024'],The Quiet American,Graham Greene/Robert  Stone,Penguin Classics Deluxe Editions,2004
0143039431,"['0143039431', '067001690X']",The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,Penguin Classics,2006
0307265838,['0307265838'],After Dark,Haruki Murakami/Jay Rubin,Knopf Publishing Group,2007
0307277674,['0385504209'],The Da Vinci Code (Robert Langdon  #2),Dan Brown,Anchor,2006
031213214X,['1401323820'],White Man's Grave,Richard Dooling,Picador USA,1995
0312424094,['0312424094'],Housekeeping,Marilynne Robinson,Picador USA,2004
031610969X,['031610969X'],Julie and Julia: 365 Days  524 Recipes  1 Tiny Apartment Kitchen,Julie Powell,Little Brown and Company,2005
0316156116,"['0316038393', '0316182370']",Consider the Lobster and Other Essays,David Foster Wallace,Little  Brown and Company,2005
0316159417,['0316159417'],The Bookseller of Kabul,Åsne Seierstad/Ingrid Christopherson,Little  Brown and Company,2004
0316168815,['0316666343'],The Lovely Bones,Alice Sebold,Back Bay Books,2004
0316969680,['0316410985'],The Beach House,James Patterson/Peter de Jonge,Little  Brown and Company,2002
0330485385,['0316666343'],The Lovely Bones,Alice Sebold,Picador,2003
034546401X,['0399153012'],Saving Fish from Drowning,Amy Tan,Ballantine Books,2006
034548701X,['141657168X'],In the Dark of the Night,John Saul,Ballantine Books,2006
034911188X,['0316066524'],Brief Interviews with Hideous Men,David Foster Wallace,Abacus,2000
0374292795,['0374292884'],The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Farrar  Straus and Giroux (NY),2006
0374525641,['0374533407'],The Spirit Catches You and You Fall Down: A Hmong Child  Her American Doctors  and the Collision of Two Cultures,Anne Fadiman,Noonday Press,1998
0375422188,['1400031346'],The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5),Alexander McCall Smith,Pantheon Books,2004
0375423001,"['0375424490', '1597229423']",The Right Attitude to Rain (Isabel Dalhousie  #3),Alexander McCall Smith,Pantheon Books,2006
0375727485,['1596431083'],Arctic Dreams,Barry  Lopez,Vintage,2001
0375814248,['0375814248'],James and the Giant Peach,Roald Dahl/Quentin Blake,Alfred A. Knopf,2002
037582538X,['0307931781'],Wild About Books,Judy Sierra/Marc Brown,Alfred A. Knopf Books for Young Readers,2004
0375831002,"['0375842209', '0375831002']",The Book Thief,Markus Zusak/Cao Xuân Việt Khương,Alfred A. Knopf,2006
0385333846,['0385333846'],Slaughterhouse-Five,Kurt Vonnegut Jr.,Dial Press,1999
0385732554,['0440237688'],The Giver (The Giver  #1),Lois Lowry,Ember,2006
043932162X,"['0545010225', '0439064864', '0439139597']",Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,Arthur A. Levine,2001
0439358078,"['043935806X', '0590353403']",Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Scholastic Inc.,2004
0439554896,"['043935806X', '0590353403', '0439064864']",Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,2003
043965548X,"['043935806X', '0590353403', '0439139597', '0439136350']",Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Scholastic Inc.,2004
0439682584,"['043935806X', '0590353403', '0439064864']",Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Scholastic,2004
0439785960,"['043935806X', '0590353403', '0439139597']",Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Scholastic Inc.,2006
0439827604,"['043935806X', '0590353403', '0439139597']",Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,2005
044844013X,"['0670060488', '0670060267']",Angelina's Ballet Class,Katharine Holabird/Helen Craig,Grosset & Dunlap,2006
0452284937,['052594527X'],Girl with a Pearl Earring,Tracy Chevalier,Plume Books,2003
0465016901,['0465012612'],The Drama of the Gifted Child: The Search for the True Self,Alice   Miller/Ruth Ward,Basic Books,2008
046501691X,['0465012612'],The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,Basic Books,1983
0517118297,['0061916048'],Jane Austen: The Complete Novels,Jane Austen,Gramercy Books,1994
055277183X,['037582913X'],This Other Eden,Ben Elton,Black Swan,2003
0553381679,['0439545285'],The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,Bantam,2002
0553485172,['0142409219'],Encyclopedia Brown and the Case of the Sleeping Dog (Encyclopedia Brown  #21),Donald J. Sobol/Warren Chang,Yearling Books,1999
0563504838,['015602943X'],The Time Traveler's Wife,Audrey Niffenegger/William Hope/Laurel Lefkow,BBC Audiobooks,2005
057120175X,['0060175400'],The Poisonwood Bible,Barbara Kingsolver,Faber and Faber,2000
0571224385,['0060932139'],The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,Harper Perennial,2009
0609602195,['0307238768'],The Barefoot Contessa Cookbook,Ina Garten/Melanie Acevedo,Clarkson Potter,1999
0613359607,['043935806X'],Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,Turtleback Books,2001
061861916X,['1416594787'],The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,Mariner Books,2005
061873516X,['061873516X'],Everyman,Philip Roth,Houghton Mifflin,2006
0670037605,['0670037605'],Mayflower: A Story of Courage  Community  and War,Nathaniel Philbrick,Viking,2006
067003777X,['067003777X'],Special Topics in Calamity Physics,Marisha Pessl,Penguin Books Ltd,2006
067176991X,['0670024961'],Mystery Walk,Robert R. McCammon,Pocket Books,1992
0676977111,['1400043395'],Never Let Me Go,Kazuo Ishiguro,Vintage Books,2006
0679454683,['0679454683'],The Lay of the Land,Richard Ford,Alfred A. Knopf,2006
067960085X,['0679745653'],Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,Modern Library,1994
0689878559,['0689878559'],Alanna: The First Adventure (Song of the Lioness  #1),Tamora Pierce,Simon Pulse,2005
070898228X,"['0143036238', '0141439513']",Pride and Prejudice,Jane Austen,Charnwood,1984
0743246985,['0743246985'],Wild Swans: Three Daughters of China,Jung Chang,Simon  Schuster,2003
074324754X,['074324754X'],The Glass Castle,Jeannette Walls,Scribner,2006
0743525876,['145164020X'],Riding the Bullet,Stephen King/Josh Hamilton,Simon  Schuster Audio,2002
074757362X,"['043935806X', '0439136350']",Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,Bloomsbury UK,2008
0753453800,['1402714572'],Treasure Island,Robert Louis Stevenson,Kingfisher,2001
